,id,forum,number,title,abstract,authors,authorids,venue,venueid,primary_area,pdf,cdate_iso,pdate_iso,mdate_iso,openreview_url,institutions
1515,Ai76ATrb2y,Ai76ATrb2y,12180,Auditing Privacy Mechanisms via Label Inference Attacks,"We propose reconstruction advantage measures to audit label privatization mechanisms. A reconstruction advantage measure quantifies the increase in an attacker's ability to infer the true label of an unlabeled example when provided with a private version of the labels in a dataset (e.g., aggregate of labels from different users or noisy labels output by randomized response), compared to an attacker that only observes the feature vectors, but may have prior knowledge of the correlation between features and labels. We consider two such auditing measures: one additive, and on multiplicative. These cover previous approaches taken in the literature on empirical auditing and differential privacy. These measures allow us to place a variety of proposed privatization schemes---some differentially private, some not---on the same footing. We analyze these measures theoretically under a distributional model which, we claim, encapsulates reasonable adversarial settings. We also quantify their behavior empirically on real and simulated  prediction tasks. Across a range of experimental settings, we find that differentially private schemes dominate or match the privacy-utility tradeoff of more heuristic approaches.",Robert Istvan Busa-Fekete; Travis Dick; Claudio Gentile; Andres Munoz medina; Adam Smith; Marika Swanberg,~Robert_Istvan_Busa-Fekete1; ~Travis_Dick1; ~Claudio_Gentile1; ~Andres_Munoz_medina1; ~Adam_Smith1; ~Marika_Swanberg1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,privacy,/pdf/30f74713b3cc0e6ae9f02677c216896562de24f0.pdf,2024-05-14T20:16:07.671000,2024-09-25T18:13:17.577000,2024-11-06T06:19:06.379000,https://openreview.net/forum?id=Ai76ATrb2y,Google; Boston University; Google; Boston University; Google
1525,Ke40kfOT2E,Ke40kfOT2E,12143,Scaling Continuous Latent Variable Models as Probabilistic Integral Circuits,"Probabilistic integral circuits (PICs) have been recently introduced as probabilistic models enjoying the key ingredient behind expressive generative models: continuous latent variables (LVs). PICs are symbolic computational graphs defining continuous LV models as hierarchies of functions that are summed and multiplied together, or integrated over some LVs. They are tractable if LVs can be analytically integrated out, otherwise they can be approximated by tractable probabilistic circuits (PC) encoding a hierarchical numerical quadrature process, called QPCs.

So far, only tree-shaped PICs have been explored, and training them via numerical quadrature requires memory-intensive processing at scale. In this paper, we address these issues, and present: (i) a pipeline for building DAG-shaped PICs out of arbitrary variable decompositions, (ii) a procedure for training PICs using tensorized circuit architectures, and (iii) neural functional sharing techniques to allow scalable training. In extensive experiments, we showcase the effectiveness of functional sharing and the superiority of QPCs over traditional PCs.",Gennaro Gala; Cassio de Campos; Antonio Vergari; Erik Quaeghebeur,~Gennaro_Gala1; ~Cassio_de_Campos1; ~Antonio_Vergari3; ~Erik_Quaeghebeur2,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,probabilistic_methods,/pdf/1375711caada6ca669b4df7e3f6a61c3c9409a15.pdf,2024-05-14T20:05:47.369000,2024-09-25T18:13:16.089000,2024-12-19T14:10:17.860000,https://openreview.net/forum?id=Ke40kfOT2E,Delft University of Technology; Delft University of Technology; University of Edinburgh; Delft University of Technology
1532,XNpVZ8E1tY,XNpVZ8E1tY,12099,Online Bayesian Persuasion Without a Clue,"We study online Bayesian persuasion problems in which an informed sender repeatedly faces a receiver with the goal of influencing their behavior through the provision of payoff-relevant information. Previous works assume that the sender has knowledge about either the prior distribution over states of nature or receiver's utilities, or both. We relax such unrealistic assumptions by considering settings in which the sender does not know anything about the prior and the receiver. We design an algorithm that achieves sublinear---in the number of rounds T---regret with respect to an optimal signaling scheme, and we also provide a collection of lower bounds showing that the guarantees of such an algorithm are tight. Our algorithm works by searching a suitable space of signaling schemes in order to learn receiver's best responses. To do this, we leverage a non-standard representation of signaling schemes that allows to cleverly overcome the challenge of not knowing anything about the prior over states of nature and receiver's utilities. Finally, our results also allow to derive lower/upper bounds on the sample complexity of learning signaling schemes in a related Bayesian persuasion PAC-learning problem.",Francesco Bacchiocchi; Matteo Bollini; Matteo Castiglioni; Alberto Marchesi; Nicola Gatti,~Francesco_Bacchiocchi1; ~Matteo_Bollini1; ~Matteo_Castiglioni1; ~Alberto_Marchesi1; ~Nicola_Gatti1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,algorithmic_game_theory,/pdf/17d1bfac3e1ff480658f0b14ee37e82ae086a1aa.pdf,2024-05-14T19:52:47.957000,2024-09-25T18:13:14.448000,2025-01-15T12:32:28.671000,https://openreview.net/forum?id=XNpVZ8E1tY,Politecnico di Milano; Politecnico di Milano; Politecnico di Milano; Politecnico di Milano
1533,ZEVDMQ6Mu5,ZEVDMQ6Mu5,12096,Curvature Clues: Decoding Deep Learning Privacy with Input Loss Curvature,"In this paper, we explore the properties of loss curvature with respect to input data in deep neural networks. Curvature of loss with respect to input (termed input loss curvature) is the trace of the Hessian of the loss with respect to the input. We investigate how input loss curvature varies between train and test sets, and its implications for train-test distinguishability. We develop a theoretical framework that derives an upper bound on the train-test distinguishability based on privacy and the size of the training set. This novel insight fuels the development of a new black box membership inference attack utilizing input loss curvature. We validate our theoretical findings through experiments in computer vision classification tasks, demonstrating that input loss curvature surpasses existing methods in membership inference effectiveness. Our analysis highlights how the performance of membership inference attack (MIA) methods varies with the size of the training set, showing that curvature-based MIA outperforms other methods on sufficiently large datasets. This condition is often met by real datasets, as demonstrated by our results on CIFAR10, CIFAR100, and ImageNet. These findings not only advance our understanding of deep neural network behavior but also improve the ability to test privacy-preserving techniques in machine learning.",Deepak Ravikumar; Efstathia Soufleri; Kaushik Roy,~Deepak_Ravikumar1; ~Efstathia_Soufleri1; ~Kaushik_Roy1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,privacy,/pdf/16cafd5bfd76bba19e2af0ee2cf8bd9b27a67dad.pdf,2024-05-14T19:51:44.266000,2024-09-25T18:13:14.377000,2024-11-06T06:19:05.518000,https://openreview.net/forum?id=ZEVDMQ6Mu5,Purdue University; Athena Research and Innovation Center; Purdue University; Purdue University
1535,8oSY3rA9jY,8oSY3rA9jY,12092,Finding Transformer Circuits With Edge Pruning,"The path to interpreting a language model often proceeds via analysis of circuits---sparse computational subgraphs of the model that capture specific aspects of its behavior. Recent work has automated the task of discovering circuits. Yet, these methods have practical limitations, as they either rely on inefficient search algorithms or inaccurate approximations. In this paper, we frame circuit discovery as an optimization problem and propose _Edge Pruning_ as an effective and scalable solution. Edge Pruning leverages gradient-based pruning techniques, but instead of removing neurons or components, prunes the _edges_ between components. Our method finds circuits in GPT-2 that use less than half the number of edges than circuits found by previous methods while being equally faithful to the full model predictions on standard circuit-finding tasks. Edge Pruning is efficient on tasks involving up to 100,000 examples, outperforming previous methods in speed and producing substantially better circuits. It also perfectly recovers the ground-truth circuits in two models compiled with Tracr. Thanks to its efficiency, we scale Edge Pruning to CodeLlama-13B, a model over 100x the size of GPT-2.
We use this setting for a case study, where we compare the mechanisms behind instruction prompting and in-context learning.
We find two circuits with more than 99.96% sparsity that match the performance of the full model. Further analysis reveals that the mechanisms in the two settings overlap substantially. This shows that Edge Pruning is a practical and scalable tool for interpretability, 
which can shed light on behaviors that only emerge in large models.",Adithya Bhaskar; Alexander Wettig; Dan Friedman; Danqi Chen,~Adithya_Bhaskar2; ~Alexander_Wettig1; ~Dan_Friedman2; ~Danqi_Chen1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,interpretability_and_explainability,/pdf/f03f6075f6988d9f26ac5c0de399b81a5f9a207f.pdf,2024-05-14T19:50:52.758000,2024-09-25T18:13:14.161000,2024-11-06T06:19:05.445000,https://openreview.net/forum?id=8oSY3rA9jY,Princeton University; Allen Institute; Princeton University; Princeton University
1550,0Lb8vZT1DB,0Lb8vZT1DB,12040,Reliable Learning of Halfspaces under Gaussian Marginals,"We study the problem of PAC learning halfspaces in the 
reliable agnostic model of Kalai et al. (2012).
The reliable PAC model  
captures learning scenarios where one type of error is 
costlier than the others. Our main positive result is a 
new algorithm for reliable learning 
of Gaussian halfspaces on 
$\mathbb{R}^d$ with sample and computational complexity 
$d^{O(\log (\min\{1/\alpha, 1/\epsilon\}))}\min (2^{\log(1/\epsilon)^{O(\log (1/\alpha))}},2^{\mathrm{poly}(1/\epsilon)})$, 
where $\epsilon$ is the excess error and $\alpha$ 
is the bias of the optimal halfspace. We complement our upper bound with 
a Statistical Query lower bound 
suggesting that the $d^{\Omega(\log (1/\alpha))}$ dependence is best possible. 
Conceptually, our results imply a strong computational separation 
between reliable agnostic learning and standard agnostic 
learning of halfspaces in the Gaussian setting.",Ilias Diakonikolas; Lisheng Ren; Nikos Zarifis,~Ilias_Diakonikolas1; ~Lisheng_Ren1; ~Nikos_Zarifis1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,learning_theory,/pdf/4cdcaf263f9d512b95d31f91c8f83ad1f8c92e4f.pdf,2024-05-14T19:33:53.932000,2024-09-25T18:13:12.399000,2025-01-15T21:35:59.511000,https://openreview.net/forum?id=0Lb8vZT1DB,University of Wisconsin - Madison; University of Wisconsin - Madison; University of Wisconsin - Madison
1563,TFZlFRl9Ks,TFZlFRl9Ks,11975,CAT3D: Create Anything in 3D with Multi-View Diffusion Models,"Advances in 3D reconstruction have enabled high-quality 3D capture, but require a user to collect hundreds to thousands of images to create a 3D scene. We present CAT3D, a method for creating anything in 3D by simulating this real-world capture process with a multi-view diffusion model. Given any number of input images and a set of target novel viewpoints, our model generates highly consistent novel views of a scene. These generated views can be used as input to robust 3D reconstruction techniques to produce 3D representations that can be rendered from any viewpoint in real-time. CAT3D can create entire 3D scenes in as little as one minute, and outperforms existing methods for single image and few-view 3D scene creation.",Ruiqi Gao; Aleksander Holynski; Philipp Henzler; Arthur Brussee; Ricardo Martin Brualla; Pratul P. Srinivasan; Jonathan T. Barron; Ben Poole,~Ruiqi_Gao1; ~Aleksander_Holynski1; ~Philipp_Henzler1; ~Arthur_Brussee1; ~Ricardo_Martin_Brualla1; ~Pratul_P._Srinivasan1; ~Jonathan_T._Barron1; ~Ben_Poole1,NeurIPS 2024 oral,NeurIPS.cc/2024/Conference,diffusion_based_models,/pdf/a17526d158b6388ba1714b7d1decfdd7ec50e8da.pdf,2024-05-14T19:18:24.183000,2024-09-25T18:13:10.364000,2024-11-06T06:19:04.307000,https://openreview.net/forum?id=TFZlFRl9Ks,"Google; Columbia University; Google; University of California, Berkeley; Google; Google; Google; Google; Google; Google"
1576,ShJWT0n7kX,ShJWT0n7kX,11933,Doob's Lagrangian: A Sample-Efficient Variational Approach to Transition Path Sampling,"Rare event sampling in dynamical systems is a fundamental problem arising in the natural sciences, which poses significant computational challenges due to an exponentially large space of trajectories. For settings where the dynamical system of interest follows a Brownian motion with known drift, the question of conditioning the process to reach a given endpoint or desired rare event is definitively answered by Doob's $h$-transform. However, the naive estimation of this transform is infeasible, as it requires simulating sufficiently many forward trajectories to estimate rare event probabilities. In this work, we propose a variational formulation of Doob's $h$-transform as an optimization problem over trajectories between a given initial point and the desired ending point. To solve this optimization, we propose a simulation-free training objective with a model parameterization that imposes the desired boundary conditions by design. Our approach significantly reduces the search space over trajectories and avoids expensive trajectory simulation and inefficient importance sampling estimators which are required in existing methods. We demonstrate the ability of our method to find feasible transition paths on real-world molecular simulation and protein folding tasks.",Yuanqi Du; Michael Plainer; Rob Brekelmans; Chenru Duan; Frank Noe; Carla P Gomes; Alan Aspuru-Guzik; Kirill Neklyudov,~Yuanqi_Du1; ~Michael_Plainer1; ~Rob_Brekelmans1; ~Chenru_Duan1; ~Frank_Noe1; ~Carla_P_Gomes1; ~Alan_Aspuru-Guzik2; ~Kirill_Neklyudov1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_learning_for_physical_sciences,/pdf/53bda8ac23be462ad0b7da366a8c85d8410b6aa4.pdf,2024-05-14T19:02:08.169000,2024-09-25T18:13:08.528000,2024-12-27T11:19:06.025000,https://openreview.net/forum?id=ShJWT0n7kX,Cornell University; Freie Universität Berlin; Vector Institute; Deep Principle; Microsoft; Cornell University; University of Toronto; Montreal Institute of Learning Algorithms; Vector Institute
1578,T56j6aV8Oc,T56j6aV8Oc,11921,Heavy-Tailed Class Imbalance and Why Adam Outperforms Gradient Descent on Language Models,"Adam has been shown to outperform gradient descent on large language models by a larger margin than on other tasks, but it is unclear why. We show that a key factor in this performance gap is the heavy-tailed class imbalance found in language tasks. When trained with gradient descent, the loss of infrequent words decreases more slowly than the loss of frequent ones. This leads to a slow decrease on the average loss as most samples come from infrequent words. On the other hand, Adam and sign-based methods are less sensitive to this problem. To establish that this behavior is caused by class imbalance, we show empirically that it can be reproduced across architectures and data types, on language transformers, vision CNNs, and linear models. On a linear model with cross-entropy loss, we show that class imbalance leads to imbalanced, correlated gradients and Hessians that have been hypothesized to benefit Adam. We also prove that, in continuous time, gradient descent converges slowly on low-frequency classes while sign descent does not.",Frederik Kunstner; Alan Milligan; Robin Yadav; Mark Schmidt; Alberto Bietti,~Frederik_Kunstner1; ~Alan_Milligan1; ~Robin_Yadav1; ~Mark_Schmidt1; ~Alberto_Bietti1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,optimization_for_deep_networks,/pdf/cb0a8b11c4c41f5a138419a244e5cfe75f0059cf.pdf,2024-05-14T18:57:46.884000,2024-09-25T18:13:08.081000,2025-01-14T20:30:28.027000,https://openreview.net/forum?id=T56j6aV8Oc,"University of British Columbia; Inria, Paris; University of British Columbia; University of Alberta; University of British Columbia; Flatiron Institute"
1590,RYQ0KuZvkL,RYQ0KuZvkL,11859,Sample Complexity Reduction via Policy Difference Estimation in Tabular Reinforcement Learning,"In this paper, we study the non-asymptotic sample complexity for the pure exploration problem in contextual bandits and tabular reinforcement learning (RL): identifying an $\epsilon$-optimal policy from a set of policies $\Pi$ with high probability. Existing work in bandits has shown that it is possible to identify the best policy by estimating only the *difference* between the behaviors of individual policies–which can have substantially lower variance than estimating the behavior of each policy directly—yet the best-known complexities in RL fail to take advantage of this, and instead estimate the behavior of each policy directly. Does it suffice to estimate only the differences in the behaviors of policies in RL? We answer this question positively for contextual bandits, but in the negative for tabular RL, showing a separation between contextual bandits and RL. However, inspired by this, we show that it *almost* suffices to estimate only the differences in RL: if we can estimate the behavior of a *single* reference policy, it suffices to only estimate how any other policy deviates from this reference policy. We develop an algorithm which instantiates this principle and obtains, to the best of our knowledge, the tightest known bound on the sample complexity of tabular RL.",Adhyyan Narang; Andrew Wagenmaker; Lillian J. Ratliff; Kevin Jamieson,~Adhyyan_Narang1; ~Andrew_Wagenmaker1; ~Lillian_J._Ratliff1; ~Kevin_Jamieson1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,bandits,/pdf/336a7b4b952246e72e30c7791ef6644d81abe1da.pdf,2024-05-14T18:39:38.855000,2024-09-25T18:13:05.967000,2024-11-06T06:19:03.240000,https://openreview.net/forum?id=RYQ0KuZvkL,"University of Washington; University of California, Berkeley; University of Washington; University of Washington"
1592,3Odq2tGSpp,3Odq2tGSpp,11839,Stylus: Automatic Adapter Selection for Diffusion Models,"Beyond scaling base models with more data or parameters, fine-tuned adapters provide an alternative way to generate high fidelity, custom images at reduced costs. As such, adapters have been widely adopted by open-source communities, accumulating a database of over 100K adapters—most of which are highly customized with insufficient descriptions. To generate high quality images, this paper explores the problem of matching the prompt to a Stylus of relevant adapters, built on recent work that highlight the performance gains of composing adapters. We introduce Stylus, which efficiently selects and automatically composes task-specific adapters based on a prompt's keywords. Stylus outlines a three-stage approach that first summarizes adapters with improved descriptions and embeddings, retrieves relevant adapters, and then further assembles adapters based on prompts' keywords by checking how well they fit the prompt. To evaluate Stylus, we developed StylusDocs, a curated dataset featuring 75K adapters with pre-computed adapter embeddings. In our evaluation on popular Stable Diffusion checkpoints, Stylus achieves greater CLIP/FID Pareto efficiency and is twice as preferred, with humans and multimodal models as evaluators, over the base model.",Michael Luo; Justin Wong; Brandon Trabucco; Yanping Huang; Joseph E. Gonzalez; Zhifeng Chen; Russ Salakhutdinov; Ion Stoica,~Michael_Luo2; ~Justin_Wong1; ~Brandon_Trabucco1; ~Yanping_Huang1; ~Joseph_E._Gonzalez1; ~Zhifeng_Chen1; ~Russ_Salakhutdinov1; ~Ion_Stoica1,NeurIPS 2024 oral,NeurIPS.cc/2024/Conference,diffusion_based_models,/pdf/b41be568e09a4892b988b18214b6686115e4ccb9.pdf,2024-05-14T18:35:37.758000,2024-09-25T18:13:05.476000,2024-11-06T06:19:03.171000,https://openreview.net/forum?id=3Odq2tGSpp,"University of California, Berkeley; Meta; University of California, Berkeley; Carnegie Mellon University; University of California, Berkeley; Google; Carnegie Mellon University; University of California, Berkeley"
1598,MsUf8kpKTF,MsUf8kpKTF,11816,A Study of Plasticity Loss in On-Policy Deep Reinforcement Learning,"Continual learning with deep neural networks presents challenges distinct from both the fixed-dataset and convex continual learning regimes. One such challenge is plasticity loss, wherein a neural network trained in an online fashion displays a degraded ability to fit new tasks. This problem has been extensively studied in both supervised learning and off-policy reinforcement learning (RL), where a number of remedies have been proposed. Still, plasticity loss has received less attention in the on-policy deep RL setting. Here we perform an extensive set of experiments examining plasticity loss and a variety of mitigation methods in on-policy deep RL. We demonstrate that plasticity loss is pervasive under domain shift in this regime, and that a number of methods developed to resolve it in other settings fail, sometimes even performing worse than applying no intervention at all. In contrast, we find that a class of ``regenerative'' methods are able to consistently mitigate plasticity loss in a variety of contexts, including in gridworld tasks and more challenging environments like Montezuma's Revenge and ProcGen.",Arthur Juliani; Jordan T. Ash,~Arthur_Juliani1; ~Jordan_T._Ash1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,reinforcement_learning,/pdf/3e83fb6a90121c80576295e22f339ac0cb843a1c.pdf,2024-05-14T18:27:54.205000,2024-09-25T18:13:04.692000,2024-11-06T06:19:02.919000,https://openreview.net/forum?id=MsUf8kpKTF,Microsoft
1601,WTLvXdzhmP,WTLvXdzhmP,11801,Statistical Estimation in the Spiked Tensor Model via the Quantum Approximate Optimization Algorithm,"The quantum approximate optimization algorithm (QAOA) is a general-purpose algorithm for combinatorial optimization that has been a promising avenue for near-term quantum advantage. 
In this paper, we analyze the performance of the QAOA on the spiked tensor model, a statistical estimation problem that exhibits a large computational-statistical gap classically. 
We prove that the weak recovery threshold of $1$-step QAOA matches that of $1$-step tensor power iteration. Additional heuristic calculations suggest that the weak recovery threshold of $p$-step QAOA matches that of $p$-step tensor power iteration when $p$ is a fixed constant. This further implies that multi-step QAOA with tensor unfolding could achieve, but not surpass, the asymptotic classical computation threshold $\Theta(n^{(q-2)/4})$ for spiked $q$-tensors. 
Meanwhile, we characterize the asymptotic overlap distribution for $p$-step QAOA, discovering an intriguing sine-Gaussian law verified through simulations. For some $p$ and $q$, the QAOA has an effective recovery threshold that is a constant factor better than tensor power iteration.
Of independent interest, our proof techniques employ the Fourier transform to handle difficult combinatorial sums, a novel approach differing from prior QAOA analyses on spin-glass models without planted structure.",Leo Zhou; Joao Basso; Song Mei,~Leo_Zhou1; ~Joao_Basso1; ~Song_Mei1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,learning_theory,/pdf/ad13d9d78eeed74462c450d578d99967947c7df5.pdf,2024-05-14T18:21:35.354000,2024-09-25T18:13:04.133000,2024-11-06T06:19:02.796000,https://openreview.net/forum?id=WTLvXdzhmP,"California Institute of Technology; University of California, Los Angeles"
1642,k29Iv0XrBF,k29Iv0XrBF,11647,Physically Compatible 3D Object Modeling from a Single Image,"We present a computational framework that transforms single images into 3D physical objects. The visual geometry of a physical object in an image is determined by three orthogonal attributes: mechanical properties, external forces, and rest-shape geometry. Existing single-view 3D reconstruction methods often overlook this underlying composition, presuming rigidity or neglecting external forces. Consequently, the reconstructed objects fail to withstand real-world physical forces, resulting in instability or undesirable deformation -- diverging from their intended designs as depicted in the image. Our optimization framework addresses this by embedding physical compatibility into the reconstruction process. We explicitly decompose the three physical attributes and link them through static equilibrium, which serves as a hard constraint, ensuring that the optimized physical shapes exhibit desired physical behaviors. Evaluations on a dataset collected from Objaverse demonstrate that our framework consistently enhances the physical realism of 3D models over existing methods. The utility of our framework extends to practical applications in dynamic simulations and 3D printing, where adherence to physical compatibility is paramount.",Minghao Guo; Bohan Wang; Pingchuan Ma; Tianyuan Zhang; Crystal Elaine Owens; Chuang Gan; Joshua B. Tenenbaum; Kaiming He; Wojciech Matusik,~Minghao_Guo1; ~Bohan_Wang9; ~Pingchuan_Ma3; ~Tianyuan_Zhang2; ~Crystal_Elaine_Owens1; ~Chuang_Gan1; ~Joshua_B._Tenenbaum1; ~Kaiming_He2; ~Wojciech_Matusik2,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_vision,/pdf/3e82eada922f6bd39360615136f2df132ecffbf1.pdf,2024-05-14T17:36:12.246000,2024-09-25T18:12:58.325000,2024-12-31T19:16:51.980000,https://openreview.net/forum?id=k29Iv0XrBF,Massachusetts Institute of Technology; Massachusetts Institute of Technology; Massachusetts Institute of Technology; Massachusetts Institute of Technology; Massachusetts Institute of Technology; University of Massachusetts Amherst; Massachusetts Institute of Technology; Meta; Massachusetts Institute of Technology; Massachusetts Institute of Technology
1647,Ib2iHIJRTh,Ib2iHIJRTh,11626,Probablistic Emulation of a Global Climate Model with Spherical DYffusion,"Data-driven deep learning models are transforming global weather forecasting. It is an open question if this success can extend to climate modeling, where the complexity of the data and long inference rollouts pose significant challenges. Here, we present the first conditional generative model that produces accurate and physically consistent global climate ensemble simulations by emulating a coarse version of the United States' primary operational global forecast model, FV3GFS.
Our model integrates the dynamics-informed diffusion framework (DYffusion) with the Spherical Fourier Neural Operator (SFNO) architecture, enabling stable 100-year simulations at 6-hourly timesteps while maintaining low computational overhead compared to single-step deterministic baselines.
The model achieves near gold-standard performance for climate model emulation, outperforming existing approaches and demonstrating promising ensemble skill.
This work represents a significant advance towards efficient, data-driven climate simulations that can enhance our understanding of the climate system and inform adaptation strategies. Code is available at [https://github.com/Rose-STL-Lab/spherical-dyffusion](https://github.com/Rose-STL-Lab/spherical-dyffusion).",Salva Rühling Cachay; Brian Henn; Oliver Watt-Meyer; Christopher S. Bretherton; Rose Yu,~Salva_Rühling_Cachay1; ~Brian_Henn1; ~Oliver_Watt-Meyer1; ~Christopher_S._Bretherton1; ~Rose_Yu1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_learning_for_physical_sciences,/pdf/f0919472c7366fb6166b4788238d1ac541829846.pdf,2024-05-14T17:29:41.119000,2024-09-25T18:12:57.617000,2024-11-06T06:19:00.590000,https://openreview.net/forum?id=Ib2iHIJRTh,"University of California, San Diego"
1648,bMTn8KKrbq,bMTn8KKrbq,11622,Towards training digitally-tied analog blocks via hybrid gradient computation,"Power efficiency is plateauing in the standard digital electronics realm such that new hardware, models, and algorithms are needed to reduce the costs of AI training. The combination of energy-based analog circuits and the Equilibrium Propagation (EP) algorithm constitutes a compelling alternative compute paradigm for gradient-based optimization of neural nets. Existing analog hardware accelerators, however, typically incorporate digital circuitry to sustain auxiliary non-weight-stationary operations, mitigate analog device imperfections, and leverage existing digital platforms. Such heterogeneous hardware lacks a supporting theoretical framework. In this work, we introduce \emph{Feedforward-tied Energy-based Models} (ff-EBMs), a hybrid model comprised of feedforward and energy-based blocks housed on digital and analog circuits. We derive a novel algorithm to compute gradients end-to-end in ff-EBMs by backpropagating and ``eq-propagating'' through feedforward and energy-based parts respectively, enabling EP to be applied flexibly on realistic architectures. We experimentally demonstrate the effectiveness of this approach on ff-EBMs using Deep Hopfield Networks (DHNs)  as energy-based blocks, and show that a standard DHN can be arbitrarily split into any uniform size while maintaining or improving performance with increases in simulation speed of up to four times. We then train ff-EBMs on ImageNet32 where we establish a new state-of-the-art performance for the EP literature (46 top-1 \%). Our approach offers a principled, scalable, and incremental roadmap for the gradual integration of self-trainable analog computational primitives into existing digital accelerators.",Timothy Nest; Maxence Ernoult,~Timothy_Nest1; ~Maxence_Ernoult1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_learning_for_other_sciences_and_fields,/pdf/0ddbc1061ddc500af441f25cf3e183654f4ff4f5.pdf,2024-05-14T17:28:03.084000,2024-09-25T18:12:57.462000,2024-11-06T06:19:00.550000,https://openreview.net/forum?id=bMTn8KKrbq,Montreal Institute of Learning Algorithms; Rain AI
1668,iW0wXE0VyR,iW0wXE0VyR,11550,Induced Model Matching: Restricted Models Help Train Full-Featured Models,"We consider scenarios where a very accurate (often small) predictive model using restricted features is available when training a full-featured (often larger) model. This restricted model may be thought of as ``side-information'', and can come either from an auxiliary dataset or from the same dataset by forcing the restriction. How can the restricted model be useful to the full model? To answer this, we introduce a methodology called Induced Model Matching (IMM). IMM aligns the context-restricted, or induced, version of the large model with the restricted model. We relate IMM to approaches such as noising, which is implicit in addressing the problem, and reverse knowledge distillation from weak teachers, which is explicit but does not exploit restriction being the nature of the weakness. We show that these prior methods can be thought of as approximations to IMM and can be problematic in terms of consistency. Experimentally, we first motivate IMM using logistic regression as a toy example. We then explore it in language modeling, the application that initially inspired it, and demonstrate it on both LSTM and transformer full models, using bigrams as restricted models. We lastly give a simple RL example, which shows that POMDP policies can help learn better MDP policies. The IMM principle is thus generally applicable in common scenarios where restricted data is cheaper to collect or restricted models are easier to learn.",Usama Muneeb; Mesrob I Ohannessian,~Usama_Muneeb1; ~Mesrob_I_Ohannessian1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,other,/pdf/483241922a3b026de4170f1c6bf3a4e06a096f35.pdf,2024-05-14T17:07:24.281000,2024-09-25T18:12:54.779000,2025-01-16T05:25:37.680000,https://openreview.net/forum?id=iW0wXE0VyR,University of Illinois at Chicago
1671,L1mMK39Z7P,L1mMK39Z7P,11537,ACES: Generating a Diversity of Challenging Programming Puzzles with Autotelic Generative Models,"The ability to invent novel and interesting problems is a remarkable feature of human intelligence that drives innovation, art, and science. We propose a method that aims to automate this process by harnessing the power of state-of-the-art generative models to produce a diversity of challenging yet solvable problems, here in the context of Python programming puzzles. Inspired by the intrinsically motivated literature, Autotelic CodE Search (ACES) jointly optimizes for the diversity and difficulty of generated problems. We represent problems in a space of LLM-generated semantic descriptors describing the programming skills required to solve them (e.g. string manipulation, dynamic programming, etc.) and measure their difficulty empirically as a linearly decreasing function of the success rate of \textit{Llama-3-70B}, a state-of-the-art LLM problem solver. ACES iteratively prompts a large language model to generate difficult problems achieving a diversity of target semantic descriptors (goal-directed exploration) using previously generated problems as in-context examples. ACES generates problems that are more diverse and more challenging than problems produced by baseline methods and three times more challenging than problems found in existing Python programming benchmarks on average across 11 state-of-the-art code LLMs.",Julien Pourcel; Cédric Colas; Gaia Molinaro; Pierre-Yves Oudeyer; Laetitia Teodorescu,~Julien_Pourcel1; ~Cédric_Colas1; ~Gaia_Molinaro1; ~Pierre-Yves_Oudeyer1; ~Laetitia_Teodorescu1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,generative_models,/pdf/ebfcd198369769c06e4e8bd93508befd24cd2a69.pdf,2024-05-14T17:03:51.202000,2024-09-25T18:12:54.245000,2024-11-06T06:18:59.483000,https://openreview.net/forum?id=L1mMK39Z7P,"Inria, Paris; Massachusetts Institute of Technology; University of California, Berkeley; Inria, Paris"
