,authorid,preferred_name,institution,position,department,start,end,city,country,institution_map
1273,~Miao_Zhang4,True,Harbin Institute of Technology (Shenzhen),Full Professor,,2022.0,,Shenzhen,CN,Harbin Institute of Technology (Shenzhen)
1275,~Hyungi_Lee1,True,Korea Advanced Institute of Science & Technology,PhD student,,2022.0,2025.0,Daejeon,KR,Korea Advanced Institute of Science and Technology
1276,~Zhan_Zhuang1,True,City University of Hong Kong,PhD student,,2022.0,,,HK,City University of Hong Kong
1277,~Fang_Kong2,True,Southern University of Science and Technology,Assistant Professor,,2024.0,,,CN,Southern University of Science and Technology
1278,~Fang_Kong2,True,Shanghai Jiao Tong University,PhD student,,2020.0,2024.0,,CN,Shanghai Jiao Tong University
1279,~Zuofan_Wu1,True,Helixon Research,Researcher,,2021.0,,,,Helixon. Inc
1280,~Pehuen_Moure1,True,ETHZ - ETH Zurich,PhD student,,2022.0,,,CH,ETH Zurich
1281,~Yujiang_Wang1,True,University of Oxford,Postdoc,,2021.0,,Oxford,GB,University of Oxford
1282,~Jungwhan_Kim1,True,NAVER,Researcher,,2020.0,,Seongnam,KR,NAVER AI Lab
1283,~Zhiyuan_You1,True,The Chinese University of Hong Kong,PhD student,,2023.0,2027.0,Hong Kong,HK,Chinese University of Hong Kong
1284,~Daniil_Pyatko1,True,EPFL - EPF Lausanne,MS student,,2023.0,,,,EPFL - EPF Lausanne
1285,~David_J._Fleet1,True,Google DeepMind,Research Scientist,,2020.0,,Toronto,CA,Google
1286,~David_J._Fleet1,True,Vector Institute,Full Professor,,2017.0,,Toronto,CA,Vector Institute
1287,~David_J._Fleet1,True,University of Toronto,Full Professor,,2004.0,,Toronto,CA,University of Toronto
1288,~Junming_Yang1,True,Southeast University,MS student,,2024.0,2027.0,,CN,Southeast University
1289,~Junming_Yang1,True,Nanjing University of Posts and Telecommunications,Undergrad student,,2020.0,2024.0,,CN,Nanjing University of Posts and Telecommunications
1290,~Chen_Huang6,False,Apple,Research Scientist,,2018.0,,,US,Apple
1291,~Sendong_Zhao2,True,Harbin Institute of Technology,Associate Professor,,2021.0,2025.0,,CN,Harbin Institute of Technology
1292,~Ziteng_Gao1,True,National University of Singapore,PhD student,,2022.0,2026.0,,SG,National University of Singapore
1293,~Kabir_Jain1,True,National University of Singapore,Intern,,2023.0,,,SG,National University of Singapore
1294,~Kexin_Shi2,True,The Hong Kong University of Science and Technology,PhD student,,2021.0,2025.0,,,Hong Kong University of Science and Technology(Guangzhou)
1295,~James_Harrison1,True,Google,Researcher,,2021.0,,,,Google
1297,~Yao_Wu3,True,Xiamen University,PhD student,,2021.0,2025.0,Xiamen,CN,Xiamen University
1298,~Xiangyuan_Lan4,False,Pengcheng Laboratory,Researcher,,2022.0,,Shenzhen,CN,Peng Cheng Laboratory
1299,~Sheng_Liu2,True,Stanford University,Postdoc,,2023.0,2026.0,,US,Stanford University
1300,~Deliang_Fan1,True,Arizona State University,Associate Professor,,2024.0,,,US,Arizona State University (ASU)
1301,~Deliang_Fan1,True,Johns Hopkins University,Associate Professor,,2023.0,2024.0,,US,Johns Hopkins University
1302,~Jialong_Zuo1,True,Huazhong University of Science and Technology,PhD student,,2024.0,2028.0,Wuhan,CN,Huazhong University of Science and Technology
1303,~Jialong_Zuo1,True,Huazhong University of Science and Technology,MS student,,2022.0,2024.0,Wuhan,CN,Huazhong University of Science and Technology
1304,~Guanjie_Zheng1,True,Shanghai Jiao Tong University,Assistant Professor,,2020.0,,,,Shanghai Jiao Tong University
1305,~Zirui_Xu1,True,Microsoft,Researcher,,2024.0,,,US,Microsoft
1306,~Zirui_Xu1,True,CVS Health,Researcher,,2022.0,2024.0,,,CVS Health
1307,~Alexandros_Stergiou1,True,University of Twente,Assistant Professor,,2024.0,,Enschede,NL,University of Twente
1308,~Wenyu_Jiang1,True,Nanjing University,PhD student,,2020.0,,Nanjing,CN,Nanjing University
1309,~Wenyu_Jiang1,True,Southern University of Science and Technology,Intern,,2023.0,2024.0,Shenzhen,CN,Southern University of Science and Technology
1310,~Adam_Foster1,False,Microsoft,Researcher,,2021.0,,,GB,Microsoft
1311,~Yue_Xu10,True,Huazhong University of Science and Technology,Undergrad student,,2021.0,,Wuhan,CN,Huazhong University of Science and Technology
1312,~Chao_Ren2,True,KTH Royal Institute of Technology,Principal Researcher,,2024.0,2025.0,,SE,KTH Royal Institute of Technology
1313,~Chao_Ren2,True,Nanyang Technological University,Principal Researcher,,2023.0,2024.0,,SG,Nanyang Technological University
1314,~Tal_Schuster1,True,Google DeepMind,Researcher,,2024.0,,,US,Google
1315,~Tal_Schuster1,True,Google,Researcher,,2021.0,,,US,Google
1316,~Yixiao_Xu1,True,Beijing University of Posts and Telecommunications,PhD student,,2023.0,2027.0,,CN,Beijing University of Posts and Telecommunications
1317,~Yuxin_Chen1,True,University of Chicago,Assistant Professor,,2019.0,,Chicago,US,University of Chicago
1318,~Keping_Bi1,,Chinese Academy of Sciences,Assistant Professor,,2022.0,,,CN,Institute of Automation，Chinese Academy of Sciences
1319,~Xingzhi_Guo1,True,Amazon,Applied Scientist,,2023.0,,Bellevue,US,Amazon
1320,~Dimitri_Meunier1,True,"University College London, University of London",PhD student,,2021.0,2026.0,,GB,University College London
1321,~Thomas_Albert_Keck1,True,DeepMind,Researcher,,2018.0,,,GB,Google
1322,~Yukyung_Lee1,True,"Boston University, Boston University",Postdoc,,2024.0,,Boston,US,Boston University
1323,~Yukyung_Lee1,True,Korea University,PhD student,,2019.0,2024.0,Seoul,KR,Korea University
1325,~Yikang_Shen1,False,International Business Machines,Researcher,,2022.0,2025.0,,US,International Business Machines
1326,~Tao_Wang1,False,Beijing Jiaotong University,Full Professor,,2022.0,,Beijing,CN,Beijing Jiaotong University
1327,~Hung-yi_Lee1,False,National Taiwan University,Full Professor,,2023.0,,Taipei,TW,National Taiwan University
1330,~Eli_Chien1,False,Georgia Institute of Technology,Postdoc,,2023.0,2025.0,,US,Georgia Institute of Technology
1331,~Daniele_Calandriello1,False,DeepMind,Researcher,,2020.0,,,,Google
1332,~Chaofei_Fan1,True,Stanford University,PhD student,,2020.0,,,,Stanford University
1333,~Hrithik_Ravi1,True,University of Michigan - Ann Arbor,Researcher,,2023.0,,Ann Arbor,US,University of Michigan - Ann Arbor
1334,~Hrithik_Ravi1,True,University of Michigan - Ann Arbor,MS student,,2023.0,2024.0,Ann Arbor,US,University of Michigan - Ann Arbor
1335,~Zhenqiang_Liu1,True,PhiGent Robotics,Researcher,,2023.0,,Beijing,CN,PhiGent Robotics
1336,~shibo_zhou2,True,Huinao Zhixin,Researcher,,2024.0,2029.0,Shenzhen,,Huinao Zhixin
1337,~Dario_Fenoglio1,True,Universita della Svizzera Italiana,PhD student,,2023.0,,lugano,CH,SUPSI - University of Applied Sciences Southern Switzerland
1338,~Jack_Parker-Holder1,True,Google DeepMind,Researcher,,2022.0,,,,Google
1339,~GUANNAN_JIANG1,True,"Contemporary Amperex Technology Co., Limited",Researcher,,2021.0,,Ningde,CN,catl
1340,~Jie_Hu8,True,Huawei Technologies Ltd.,Researcher,,2016.0,,,CN,Huawei Technologies Research & Development (UK) Ltd
1342,~Zhiyang_Dou1,True,University of Pennsylvania,Visiting Student,,2023.0,,PHILADELPHIA,US,University of Pennsylvania
1343,~Zhiyang_Dou1,True,University of Hong Kong,MPhil,,2020.0,,Hong Kong,HK,University of Hong Kong
1344,~Yuchen_Zhang1,True,ByteDance Inc.,Researcher,,2022.0,2025.0,Beijing,CN,ByteDance Inc.
1345,~Jiwen_Lu1,False,Tsinghua University,Full Professor,,2024.0,,Beijing,CN,"Tsinghua University, Beijing"
1346,~Mengmeng_Wang1,True,Zhejiang University of Technology,Associate Professor,,2024.0,,Hangzhou,CN,Zhejiang University
1347,~Mengmeng_Wang1,True,Zhejiang University,PhD student,,2020.0,2024.0,Hangzhou,CN,Zhejiang University
1348,~Huamin_Qu1,,Hong Kong University of Science and Technology,Full Professor,,2015.0,,Kowloon,HK,Hong Kong University of Science and Technology(Guangzhou)
1349,~Junyu_Lu3,False,Dalian University of Technology,MS student,,2021.0,2024.0,,,Dalian University of Technology
1350,~Sebastian_Bugge_Loeschcke1,False,University of Copenhagen,PhD student,,2023.0,,,DK,University of Copenhagen
1351,~Peiran_Jin1,True,Microsoft Research,Researcher,,2022.0,,Beijing,CN,Microsoft
1352,~Rui_Zheng1,True,Fudan University,PhD student,,2020.0,2024.0,shanghai,CN,Fudan University
1353,~Wei_Huang8,True,University of Melbourne,Assistant Professor,,2019.0,,Parkville,AU,University of Melbourne
1355,~Sarah_Wiegreffe1,True,Allen Institute for AI,Postdoc,,2022.0,2025.0,,US,Allen Institute for Artificial Intelligence
1356,~Gaofeng_Meng1,False,"Centre for Artificial Intelligence and Robotics Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",Full Professor,,2022.0,,Hong Kong,CN,University of Chinese Academy of Sciences
1357,~Gaofeng_Meng1,False,Institute of automation,Full Professor,,2020.0,,Beijing,CN,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
1358,~Vinh_Q._Tran1,True,Google DeepMind,Researcher,,2024.0,,,US,Google
1359,~Yuanhao_Zhai1,True,State University of New York at Buffalo,PhD student,,2021.0,,,US,"State University of New York, Buffalo"
1360,~Andrew_C_Li1,True,"Department of Computer Science, University of Toronto",PhD student,,2021.0,,,,York University
1361,~David_Janz1,True,University of Alberta,Postdoc,,2022.0,,,,University of Alberta
1362,~Rafael_Rafailov1,True,Stanford University,PhD student,,2022.0,,Stanford,US,Stanford University
1363,~Maria_Vakalopoulou1,True,CentraleSupelec,Assistant Professor,,2019.0,,Gif-sur-Yvettes,FR,CentraleSupélec
1364,~Yuxin_Jia1,True,Beijing Jiaotong University,PhD student,,2021.0,,,CN,Beijing Jiaotong University
1365,~ZhiQiang_Feng1,True,Baidu,Researcher,,2022.0,,,,Baidu
1366,~Xuehai_Pan1,True,Peking University,PhD student,,2019.0,,Beijing,CN,Peking University
1367,~Gal_Vardi1,True,Weizmann Institute of Science,Assistant Professor,,2024.0,,,IL,Weizmann Institute of Science
1368,~Gal_Vardi1,True,Toyota Technological Institute at Chicago,Postdoc,,2022.0,2024.0,,US,Toyota Technological Institute at Chicago
1370,~Lingyu_Zhu3,True,City University of Hong Kong,PhD student,,2021.0,2025.0,Hong Kong,HK,City University of Hong Kong
1371,~Haoyu_He4,True,Eberhard-Karls-Universität Tübingen,PhD student,,2022.0,,Tübingen,,University of Tübingen
1372,~Tieniu_Tan1,True," Institute of Automation, Chinese Academy of Sciences",Professor,,1997.0,,,CN,University of Chinese Academy of Sciences
1374,~Jarrid_Rector-Brooks2,True,"Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal",PhD student,,2020.0,2026.0,,CA,Montreal Institute of Learning Algorithms
1375,~Jue_Wang9,True,Westlake University,PhD student,,2024.0,2029.0,Hangzhou,CN,Westlake University
1376,~Jue_Wang9,True,Zhongnan University of Economics and Law,Undergrad student,,2018.0,2024.0,,CN,Zhongnan University of Economics and Law
1377,~Tess_Smidt1,True,Massachusetts Institute of Technology,Assistant Professor,,2021.0,,,US,Massachusetts Institute of Technology
1378,~Yusuke_Iwasawa1,True,"The University of Tokyo, The University of Tokyo",Associate Professor,,2024.0,,,JP,The University of Tokyo
1380,~Qianli_Shen1,True,"national university of singaore, National University of Singapore",PhD student,,2021.0,2025.0,Singapore,SG,National University of Singapore
1381,~Vaishaal_Shankar1,False,Apple,Researcher,,2022.0,,,,Apple
1382,~Atul_Prakash1,False,University of Michigan,Professor,,2001.0,,,,University of Michigan - Ann Arbor
1383,~Ziqian_Xie1,True,University of Texas Health Science Center at Houston,Researcher,,2021.0,,,,University of Texas Rio Grande Valley
1384,~Xingquan_Zhu1,,Florida Atlantic University,Full Professor,,2018.0,,,,Florida Atlantic University
1385,~Yihua_Zhang1,True,Michigan State University,PhD student,,2021.0,2026.0,East Lansing,US,Michigan State University
1386,~Steven_Kapturowski1,True,DeepMind,Staff Research Engineer,,2017.0,,,,Google
1387,~Jia_Luo2,True,Beijing University of Technology,Associate Professor,,2023.0,2024.0,,,Beijing University of Technology
1389,~Yequan_Wang1,False,Beijing Academy of Artificial Intelligence,Researcher,,2022.0,,Beijing,CN,Beijing Academy of Artificial Intelligence
1390,~Viktor_Johansson1,True,Linköping University,MS student,,2019.0,2025.0,Linköping,SE,Linköping University
1391,~Susheel_Varma1,True,Sage Bionetworks,Full Professor,,2024.0,,Seattle,GB,Sage Bionetworks
1392,~Susheel_Varma1,True,Information Commissioners Office,Full Professor,,2022.0,2024.0,London,GB,Information Commissioners Office
1393,~Vinamra_Benara1,True,"University of California, Berkeley",PhD student,,2019.0,2025.0,,,"University of California, Berkeley"
1394,~Siddartha_Devic1,True,University of Southern California,PhD student,,2021.0,,,US,University of Southern California
1396,~Siddartha_Devic1,True,Amazon,Intern,,2024.0,2024.0,San Jose,US,Amazon
1397,~Pinar_Yanardag1,True,Virginia Polytechnic Institute and State University,Assistant Professor,,2023.0,,,US,Virginia Tech
1398,~Max_Ku1,True,University of Waterloo,PhD student,,2024.0,,Waterloo,CA,University of Waterloo
1400,~Max_Ku1,True,University of Waterloo,MS student,,2023.0,2024.0,Waterloo,CA,University of Waterloo
1401,~Berivan_Isik1,True,Google,Research Scientist,,2024.0,,,US,Google
1402,~Berivan_Isik1,True,Stanford University,PhD student,,2019.0,2024.0,,US,Stanford University
1403,~Shufan_Li1,True,"UCLA Computer Science Department, University of California, Los Angeles",PhD student,,2023.0,,Los Angeles,US,"University of California, Los Angeles"
1405,~Rui_Melo2,True,Universidade do Porto,PhD student,,2024.0,2029.0,Porto,PT,Universidade do Porto
1406,~Rui_Melo2,True,Equall,Researcher,,2023.0,2024.0,New York,US,Equall
1407,~Frederick_Shpilevskiy1,True,University of British Columbia,PhD student,,2023.0,,Vancouver,CA,University of British Columbia
1408,~Munkhjargal_Gochoo1,True,United Arab Emirates University,Associate Professor,,2024.0,,,AE,United Arab Emirates University
1409,~Munkhjargal_Gochoo1,True,United Arab Emirates University,Assistant Professor,,2019.0,2024.0,,AE,United Arab Emirates University
1411,~Qi_Qian1,True,Zoom,Researcher,,2024.0,2025.0,Bellevue,US,Zoom
1412,~Qi_Qian1,True,Alibaba Group,Researcher,,2015.0,2024.0,Bellevue,US,Alibaba Group
1413,~Giuseppe_Lisanti3,False,University of Bologna,Associate Professor,,2021.0,,Bologna,IT,University of Bologna
1414,~Heng_Huang1,False,"Department of Computer Science, University of Maryland, College Park",Full Professor,,2023.0,,,US,"University of Maryland, College Park"
1415,~Matthew_C_Bendel1,True,"Ohio State University, Columbus",PhD student,,2021.0,,Columbus,US,The Ohio State University
1416,~Wangchunshu_Zhou1,True,"Guangdong OPPO Mobile Telecommunications Corp.,Ltd.",Researcher,,2024.0,,,CN,"OPPO Guangdong Mobile Telecommunications Co., Ltd."
1417,~Wangchunshu_Zhou1,True,AIWaves Inc.,Researcher,,2023.0,2024.0,,CN,AIWaves Inc.
1418,~Wen_Li2,False,University of Electronic Science and Technology of China,Full Professor,,2019.0,,,CN,University of Electronic Science and Technology of China
1421,~Victor_Boone1,True,Université Grenoble Alpes,PhD student,,2021.0,2024.0,Grenoble,FR,Université Grenoble Alpes
1422,~Yiwei_Ma1,True,Xiamen University,PhD student,,2023.0,2027.0,Xiamen,CN,Xiamen University
1423,~Manaal_Faruqui2,False,Google,Research Scientist,,2016.0,,,,Google
1424,~Vrinda_S_Girimaji1,True,Iowa State University,MS student,,2024.0,,Ames,US,Iowa State University
1425,~Yaswanth_Chittepu1,True,University of Massachusetts at Amherst,PhD student,,2022.0,,,US,University of Massachusetts Amherst
1426,~Evan_Markou1,True,Australian National University,PhD student,,2023.0,2027.0,,AU,Australian National University
1427,~Zengmao_Wang1,True,Wuhan University,Associate Professor ,,2023.0,,Wuhan,CN,Wuhan University
1428,~Benjamin_Swain1,True,General Motors,Researcher,,2019.0,2024.0,Warren,US,GM Lab
1430,~Seungju_Han2,True,NVIDIA,Researcher,,2024.0,2025.0,Santa Clara,US,NVIDIA
1431,~Seungju_Han2,True,Allen Institute for Artificial Intelligence,Researcher,,2022.0,2024.0,,US,Allen Institute for Artificial Intelligence
1432,~Seungju_Han2,True,Seoul National University,Undergrad student,,2017.0,2024.0,,KR,Seoul National University
1433,~Zihan_Lu1,True,Nanjing University of Science and Technology,MS student,,2021.0,2024.0,,,Nanjing University of Science and Technology
1434,~Yeyun_Gong2,True,Microsoft,Researcher,,2017.0,2025.0,,CN,Microsoft
1435,~Animesh_Garg1,True,Georgia Institute of Technology,Assistant Professor,,2024.0,,Atlanta,US,Georgia Institute of Technology
1436,~Animesh_Garg1,True,NVIDIA,Researcher,,2018.0,2024.0,Santa Clara,US,NVIDIA
1437,~Mustafa_Shukor1,True,"Université Pierre et Marie Curie - Paris 6, Sorbonne Université - Faculté des Sciences (Paris VI)",PhD student,,2022.0,2025.0,Paris,FR,Sorbonne Université
1438,~Jonah_Brown-Cohen1,True,Google DeepMind,Researcher,,2023.0,,,GB,Google
1439,~Lars_Schmidt-Thieme1,False,University of Hildesheim,Full Professor,,2006.0,,Hildesheim,DE,University of Hildesheim
1441,~Li-Wu_Tsao1,True,National Yang Ming Chiao Tung University,PhD student,,2020.0,,Hsinchu,TW,National Yang Ming Chiao Tung University
1442,~Rasmus_Pagh1,True,University of Copenhagen,Full Professor,,2020.0,,,DK,University of Copenhagen
1443,~Songting_Li1,True,Shanghai Jiao Tong University,Full Professor,,2022.0,,Shanghai,CN,Shanghai Jiao Tong University
1444,~Olivier_NIYOMUGISHA1,True,University of Rwanda,Undergrad student,,2021.0,2024.0,Huye,RW,University of Rwanda
1445,~Martin_Grayson1,True,"Research, Microsoft",Software Engineer,,2015.0,,Cambridge,,Microsoft
1446,~Wenting_Zheng1,True,Carnegie Mellon University,Assistant Professor,,2021.0,,,,Carnegie Mellon University
1447,~Shenbao_Yu1,True,Fujian Normal University,Lecturer,,2024.0,,Fuzhou,CN,Fujian Normal University
1449,~Haiyang_Huang2,True,Duke University,PhD student,,2019.0,2025.0,Durham,US,Duke University
1450,~Yingyan_Celine_Lin1,False,Georgia Institute of Technology,Associate Professor,,2022.0,,Atlanta,US,Georgia Institute of Technology
1451,~Lorenzo_Noci1,True,ETHZ - ETH Zurich,PhD student,,2021.0,2024.0,,,ETH Zurich
1452,~Sergey_Nikolenko1,False,Steklov Institute of Mathematics at St. Petersburg,Assistant Professor,,2008.0,,St. Petersburg,RU,St. Petersburg Department of Steklov Mathematical Institute
1453,~Hyun-Young_Park1,True,Korea Advanced Institute of Science & Technology,PhD student,,2021.0,,Daejeon,KR,Korea Advanced Institute of Science and Technology
1455,~Justin_Dumouchelle1,True,University of Toronto,PhD student,,2021.0,2025.0,Toronto,CA,University of Toronto
1456,~Alejandro_Lopez-Lira1,True,University of Florida,Assistant Professor,,2021.0,,,US,University of Florida
1457,~YunFeng_Luo1,True,Huazhong University of Science and Technology,Full Professor,,1996.0,,Wuhan,CN,Huazhong University of Science and Technology
1458,~Jiawei_Yao3,True,University of Washington,PhD student,,2021.0,,,US,University of Washington
1459,~Orevaoghene_Ahia1,True,Department of Computer Science,PhD student,,2021.0,2026.0,,,Department of Computer Science
1460,~Kairan_Zhao1,True,University of Warwick,PhD student,,2023.0,2027.0,Coventry,GB,University of Warwick
1461,~Gang_Hu3,True,Yunnan University,Lecturer,,2021.0,,Kunming,CN,Yunnan University
1462,~Kate_E._Jones1,True,"University College London, University of London",Full Professor,,2012.0,,London,GB,University College London
1463,~Jiarui_Wu1,True,The Chinese University of Hong Kong,PhD student,,2024.0,,,HK,Chinese University of Hong Kong
1464,~Jiarui_Wu1,True,Beijing University of Aeronautics and Astronautics,Undergrad student,,2020.0,2024.0,,CN,Beihang University
1465,~Hyeonhoon_Lee1,True,Seoul National University Hosipital,Assistant Professor,,2022.0,,,,Seoul National University
1466,~Faisal_Mahmood1,False,Harvard University,Associate Professor,,2022.0,,,US,Harvard University
1467,~Thomas_Mensink1,True,Google Deepmind,Researcher,,2024.0,,Amsterdam,NL,Google
1468,~Thomas_Mensink1,True,Google Research,Research Scientist,,2019.0,2024.0,Amsterdam,NL,Google
1470,~Zhengyan_Shi2,False,University College London,PhD student,,2020.0,2024.0,,GB,University College London
1471,~Wang_Chen5,True,Renmin University of China,PhD student,,2021.0,,Beijing,CN,Renmin University of China
1472,~Sophia_Sanborn1,True,Stanford University,Researcher,,2024.0,,Stanford,US,Stanford University
1473,~Sophia_Sanborn1,True,Science,Researcher,,2023.0,2024.0,Alameda,US,Science
1474,~Ankit_Anand4,False,Google DeepMind,Research Scientist,,2018.0,,,,Google
1475,~Fabio_Valerio_Massoli1,True,"Qualcomm Inc, QualComm",Researcher,,2021.0,,,,Qualcomm AI Research
1517,~Qifeng_Li2,True,Shanghai Jiaotong University,PhD student,,2024.0,2028.0,,CN,Shanghai Jiao Tong University
1518,~Xuexun_Liu1,True,Shenzhen University,MS student,,2023.0,2026.0,Shenzhen,CN,Shenzhen University
1519,~Ser-Nam_Lim3,False,University of Central Florida,Associate Professor,,2023.0,,,US,University of Central Florida
1520,~Reda_ALAMI1,True,Technology Innovation Institute,Researcher,,2022.0,,,,Technology Innovation Institute
1521,~Renping_Zhou1,True,", Tsinghua University",Undergrad student,,2021.0,,Haidian,CN,"Tsinghua University, Beijing"
1522,~Shihan_Ma2,True,Facebook,Research Scientist,,2024.0,,,GB,Meta
1523,~Shihan_Ma2,True,Imperial College London,Postdoc,,2023.0,2024.0,,GB,Imperial College London
1524,~Shihan_Ma2,True,Shanghai Jiaotong University,PhD student,,2018.0,2024.0,,CN,Shanghai Jiao Tong University
1525,~Stefanos_Nikolaidis1,True,University of Southern California,Assistant Professor,,2018.0,,,,University of Southern California
1526,~Sameera_Ramasinghe1,True,Amazon,Researcher,,2022.0,,,AU,Amazon
1527,~Xuejin_Chen1,False,University of Science and Technology of China,Full Professor,,2022.0,,Hefei,CN,University of Science and Technology of China
1528,~Surbhi_Goel1,True,University of Pennsylvania,Assistant Professor,,2023.0,,Philadelphia,US,University of Pennsylvania
1529,~Melissa_Dell1,,"Harvard University, Harvard University",Full Professor,,2018.0,,Cambridge,US,Harvard University
1530,~Xiang_Deng1,False,Harbin Institute of Technology,Full Professor,,2024.0,2025.0,Shenzhen,CN,Harbin Institute of Technology
1531,~Xiang_Deng1,False,Harbin Institute of Technology (Shenzhen)),Full Professor,,2024.0,2025.0,Shenzhen,CN,Harbin Institute of Technology (Shenzhen))
1532,~Zi_Wang1,False,Google DeepMind,Research scientist,,2020.0,,Cambridge,US,Google
1534,~Alexey_Frolov1,True,Skolkovo Institute of Science and Technology,Full Professor,,2022.0,2025.0,,RU,The Skolkovo Institute of Science and Technology
1535,~Yuanfan_Guo1,True,Huawei Technologies Ltd.,Researcher,,2023.0,,Shanghai,CN,Huawei Technologies Research & Development (UK) Ltd
1536,~Yang_Gao7,,Shanghai Artificial Intelligence Laboratory,Researcher,,2022.0,2025.0,Shanghai,CN,Shanghai Artificial Intelligence Laboratory
1537,~Hao_Ma5,True,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",PhD student,,2023.0,2026.0,,CN,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
1538,~Aniket_Dashpute1,False,Rice University,PhD student,,2023.0,2026.0,Houston,US,Rice University
1539,~Cewu_Lu3,False,Shanghai Jiao Tong University,Full Professor,,2016.0,2025.0,,CN,Shanghai Jiao Tong University
1540,~Linke_Guo2,True,Clemson University,Associate Professor,,2019.0,,Clemson,US,Clemson University
1541,~Wenjing_Zhou2,True,Amazon,Researcher,,2022.0,2024.0,Seattle,US,Amazon
1542,~Luca_Savant_Aira1,True,Polytechnic Institute of Turin,PhD student,,2022.0,2025.0,Turin,IT,Politecnico di Milano
1543,~Lorenzo_Bonicelli1,True,University of Modena and Reggio Emilia,PhD student,,2021.0,2025.0,,IT,University of Modena and Reggio Emilia
1544,~Dhruba_Ghosh1,True,Stanford University,PhD student,,2024.0,,,US,Stanford University
1545,~Dhruba_Ghosh1,True,University of Washington,PhD student,,2022.0,2024.0,,US,University of Washington
1546,~Weidong_Zhao3,True,Tongji University,Full Professor,,2004.0,2024.0,Shanghai,CN,Tongji University
1547,~Yang_Liu19,False,Tsinghua University,Professor,,2019.0,2025.0,Beijing,CN,"Tsinghua University, Beijing"
1548,~Wei_Chen50,True,"The Hong Kong University of Science and Technology, Guangzhou",PhD student,,2023.0,,,CN,Hong Kong University of Science and Technology(Guangzhou)
1550,~Wei_Chen50,True,Huawei 2012 Research,Researcher,,2024.0,2025.0,,CN,Huawei Technologies Research & Development (UK) Ltd
1551,~Wei_Chen50,True,Microsoft Research,Researcher,,2022.0,2024.0,,CN,Microsoft
1552,~Zongqing_Lu2,False,Peking University,Associate Professor,,2024.0,,,CN,Peking University
1553,~Wenyi_Hong1,True,"Department of Computer Science and Technology, Tsinghua University",PhD student,,2022.0,,Beijing,CN,"Tsinghua University, Beijing"
1554,~Zhicheng_YANG5,True,Hong Kong University of Science and Technology (Guangzhou),PhD student,,2023.0,2027.0,,CN,Hong Kong University of Science and Technology(Guangzhou)
1556,~Dejia_Xu1,True,University of Texas at Austin,PhD student,,2021.0,2025.0,,US,The University of Texas at Austin
1557,~Jianqing_Zhu2,False,King Abdullah University of Science and Technology,Postdoc,,2024.0,2025.0,,,King Abdullah University of Science and Technology
1558,~Xiaohan_Lin2,True,SUN YAT-SEN UNIVERSITY,MS student,,2022.0,2025.0,,CN,Sun Yat-sen University
1559,~Junsheng_Zhou3,True,Tsinghua University,PhD student,,2024.0,,Beijing,CN,"Tsinghua University, Beijing"
1560,~Junsheng_Zhou3,True,Tsinghua University,MS student,,2021.0,2024.0,Beijing,CN,"Tsinghua University, Beijing"
1561,~Archan_Misra1,True,Singapore Management University,Full Professor,,2015.0,,Singapore,SG,Singapore Management University
1562,~Jordi_Pont-Tuset2,False,Google,Research Scientist,,2018.0,,,CH,Google
1563,~Noga_Zaslavsky1,True,New York University,Assistant Professor,,2024.0,,New York,US,New York University
1564,~Noga_Zaslavsky1,True,"University of California, Irvine",Assistant Professor,,2023.0,2024.0,,,"University of California, Irvine"
1565,~Yaohua_Wang2,True,"Tsinghua University, Tsinghua University",PhD student,,2023.0,,Beijing,CN,"Tsinghua University, Beijing"
1566,~Yaohua_Wang2,True,Alibaba Group,Researcher,,2019.0,,Beijing,CN,Alibaba Group
1567,~Fajri_Koto1,True,Mohamed bin Zayed University of Artificial Intelligence,Assistant Professor,,2024.0,,,AE,Mohamed bin Zayed University of Artificial Intelligence
1568,~Fajri_Koto1,True,Mohamed bin Zayed University of Artificial Intelligence,Postdoc,,2022.0,2024.0,,AE,Mohamed bin Zayed University of Artificial Intelligence
1569,~YooJung_Choi1,True,Arizona State University,Assistant Professor,,2022.0,,,US,Arizona State University (ASU)
1571,~Tycho_F._A._van_der_Ouderaa2,False,Imperial College London,PhD student,,2021.0,2025.0,,GB,Imperial College London
1573,~Taeyoun_Kim1,True,"School of Computer Science, Carnegie Mellon University",MS student,,2023.0,2024.0,,US,Carnegie Mellon University
1574,~Jiangbo_Lu1,False,SmartMore Corporation,Chief Technology Officer,,2020.0,,,CN,Smartmore Technology
1575,~Md_Tanvirul_Alam1,False,Rochester Institute of Technology,PhD student,,2021.0,2026.0,,BD,Rochester Institute of Technology
1576,~Nirjhar_Das1,True,"Indian Institute of Science, Indian institute of science, Bangalore",MS student,,2024.0,2026.0,Bangalore,IN,"Indian Institute of Science, Bangalore"
1577,~Nirjhar_Das1,True,"Research, Microsoft",Intern,,2023.0,2024.0,Bengaluru,IN,Microsoft
1579,~Yiming_Lei1,True,Fudan University,Postdoc,,2022.0,2024.0,,CN,Fudan University
