kind,subtype,subcategory,company,period,works,citations,work_id,title
subcat-year,orchestration,frameworks-runtimes,,2024,60,,,
subcat-year,orchestration,frameworks-runtimes,,2025,667,,,
subcat-year,orchestration,frameworks-runtimes,,2026,1432,,,
subcat-year,orchestration,observability-ops,,2025,3,,,
subcat-year,orchestration,observability-ops,,2026,4,,,
subcat-year,orchestration,other,,2025,5,,,
subcat-year,orchestration,other,,2026,3,,,
subcat-year,orchestration,protocols,,2025,90,,,
subcat-year,orchestration,protocols,,2026,177,,,
subcat-year,planning-reasoning,applied-optimization,,2024,12,,,
subcat-year,planning-reasoning,applied-optimization,,2025,72,,,
subcat-year,planning-reasoning,applied-optimization,,2026,95,,,
subcat-year,planning-reasoning,hierarchical-planning,,2022,1,,,
subcat-year,planning-reasoning,hierarchical-planning,,2023,35,,,
subcat-year,planning-reasoning,hierarchical-planning,,2024,140,,,
subcat-year,planning-reasoning,hierarchical-planning,,2025,605,,,
subcat-year,planning-reasoning,hierarchical-planning,,2026,843,,,
subcat-year,planning-reasoning,neuro-symbolic,,2021,1,,,
subcat-year,planning-reasoning,neuro-symbolic,,2022,2,,,
subcat-year,planning-reasoning,neuro-symbolic,,2023,22,,,
subcat-year,planning-reasoning,neuro-symbolic,,2024,69,,,
subcat-year,planning-reasoning,neuro-symbolic,,2025,322,,,
subcat-year,planning-reasoning,neuro-symbolic,,2026,413,,,
subcat-year,planning-reasoning,other,,2021,1,,,
subcat-year,planning-reasoning,other,,2023,9,,,
subcat-year,planning-reasoning,other,,2024,98,,,
subcat-year,planning-reasoning,other,,2025,422,,,
subcat-year,planning-reasoning,other,,2026,692,,,
subcat-year,planning-reasoning,reflection-self-correction,,2023,5,,,
subcat-year,planning-reasoning,reflection-self-correction,,2024,38,,,
subcat-year,planning-reasoning,reflection-self-correction,,2025,192,,,
subcat-year,planning-reasoning,reflection-self-correction,,2026,237,,,
subcat-year,planning-reasoning,rl-post-training,,2022,1,,,
subcat-year,planning-reasoning,rl-post-training,,2023,20,,,
subcat-year,planning-reasoning,rl-post-training,,2024,68,,,
subcat-year,planning-reasoning,rl-post-training,,2025,434,,,
subcat-year,planning-reasoning,rl-post-training,,2026,641,,,
subcat-year,planning-reasoning,search-exploration,,2020,5,,,
subcat-year,planning-reasoning,search-exploration,,2021,4,,,
subcat-year,planning-reasoning,search-exploration,,2022,17,,,
subcat-year,planning-reasoning,search-exploration,,2023,166,,,
subcat-year,planning-reasoning,search-exploration,,2024,697,,,
subcat-year,planning-reasoning,search-exploration,,2025,3037,,,
subcat-year,planning-reasoning,search-exploration,,2026,4341,,,
subcat-year,tool-use,other,,2023,5,,,
subcat-year,tool-use,other,,2024,34,,,
subcat-year,tool-use,other,,2025,126,,,
subcat-year,tool-use,other,,2026,145,,,
subcat-year,tool-use,skill-learning,,2023,2,,,
subcat-year,tool-use,skill-learning,,2024,5,,,
subcat-year,tool-use,skill-learning,,2025,19,,,
subcat-year,tool-use,skill-learning,,2026,76,,,
subcat-year,tool-use,tool-benchmarks,,2022,1,,,
subcat-year,tool-use,tool-benchmarks,,2023,6,,,
subcat-year,tool-use,tool-benchmarks,,2024,31,,,
subcat-year,tool-use,tool-benchmarks,,2025,183,,,
subcat-year,tool-use,tool-benchmarks,,2026,547,,,
subcat-year,tool-use,tool-integrated-reasoning,,2023,43,,,
subcat-year,tool-use,tool-integrated-reasoning,,2024,226,,,
subcat-year,tool-use,tool-integrated-reasoning,,2025,940,,,
subcat-year,tool-use,tool-integrated-reasoning,,2026,1150,,,
subcat-year,tool-use,tool-selection-retrieval,,2023,3,,,
subcat-year,tool-use,tool-selection-retrieval,,2024,18,,,
subcat-year,tool-use,tool-selection-retrieval,,2025,87,,,
subcat-year,tool-use,tool-selection-retrieval,,2026,120,,,
subcat-year,tool-use,workflow-automation,,2023,37,,,
subcat-year,tool-use,workflow-automation,,2024,212,,,
subcat-year,tool-use,workflow-automation,,2025,815,,,
subcat-year,tool-use,workflow-automation,,2026,896,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2020-Q1,1,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2020-Q4,1,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2022-Q2,1,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2022-Q3,1,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2023-Q1,3,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2023-Q2,10,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2023-Q3,16,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2023-Q4,19,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2024-Q1,89,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2024-Q2,57,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2024-Q3,67,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2024-Q4,120,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2025-Q1,265,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2025-Q2,312,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2025-Q3,359,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2025-Q4,588,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2026-Q1,1267,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2026-Q2,1529,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2026-Q3,2,,,
subcat-quarter,agent-evaluation,benchmarks-environments,,2026-Q4,3,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2020-Q1,1,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2021-Q2,1,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2022-Q1,1,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2022-Q4,1,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2023-Q1,6,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2023-Q2,4,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2023-Q3,12,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2023-Q4,15,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2024-Q1,56,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2024-Q2,45,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2024-Q3,65,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2024-Q4,116,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2025-Q1,248,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2025-Q2,262,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2025-Q3,310,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2025-Q4,551,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2026-Q1,815,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2026-Q2,854,,,
subcat-quarter,agent-evaluation,domain-case-studies,,2026-Q3,3,,,
subcat-quarter,agent-evaluation,empirical-studies,,2020-Q1,1,,,
subcat-quarter,agent-evaluation,empirical-studies,,2020-Q2,1,,,
subcat-quarter,agent-evaluation,empirical-studies,,2021-Q3,2,,,
subcat-quarter,agent-evaluation,empirical-studies,,2022-Q1,1,,,
subcat-quarter,agent-evaluation,empirical-studies,,2022-Q2,1,,,
subcat-quarter,agent-evaluation,empirical-studies,,2022-Q3,2,,,
subcat-quarter,agent-evaluation,empirical-studies,,2022-Q4,2,,,
subcat-quarter,agent-evaluation,empirical-studies,,2023-Q1,17,,,
subcat-quarter,agent-evaluation,empirical-studies,,2023-Q2,24,,,
subcat-quarter,agent-evaluation,empirical-studies,,2023-Q3,29,,,
subcat-quarter,agent-evaluation,empirical-studies,,2023-Q4,91,,,
subcat-quarter,agent-evaluation,empirical-studies,,2024-Q1,225,,,
subcat-quarter,agent-evaluation,empirical-studies,,2024-Q2,179,,,
subcat-quarter,agent-evaluation,empirical-studies,,2024-Q3,188,,,
subcat-quarter,agent-evaluation,empirical-studies,,2024-Q4,348,,,
subcat-quarter,agent-evaluation,empirical-studies,,2025-Q1,799,,,
subcat-quarter,agent-evaluation,empirical-studies,,2025-Q2,862,,,
subcat-quarter,agent-evaluation,empirical-studies,,2025-Q3,1108,,,
subcat-quarter,agent-evaluation,empirical-studies,,2025-Q4,1744,,,
subcat-quarter,agent-evaluation,empirical-studies,,2026-Q1,3132,,,
subcat-quarter,agent-evaluation,empirical-studies,,2026-Q2,4308,,,
subcat-quarter,agent-evaluation,empirical-studies,,2026-Q3,8,,,
subcat-quarter,agent-evaluation,evaluation-methodology,,2023-Q3,2,,,
subcat-quarter,agent-evaluation,evaluation-methodology,,2024-Q1,4,,,
subcat-quarter,agent-evaluation,evaluation-methodology,,2024-Q3,1,,,
subcat-quarter,agent-evaluation,evaluation-methodology,,2024-Q4,4,,,
subcat-quarter,agent-evaluation,evaluation-methodology,,2025-Q1,7,,,
subcat-quarter,agent-evaluation,evaluation-methodology,,2025-Q2,5,,,
subcat-quarter,agent-evaluation,evaluation-methodology,,2025-Q3,13,,,
subcat-quarter,agent-evaluation,evaluation-methodology,,2025-Q4,28,,,
subcat-quarter,agent-evaluation,evaluation-methodology,,2026-Q1,37,,,
subcat-quarter,agent-evaluation,evaluation-methodology,,2026-Q2,35,,,
subcat-quarter,agent-evaluation,other,,2023-Q2,2,,,
subcat-quarter,agent-evaluation,other,,2024-Q1,3,,,
subcat-quarter,agent-evaluation,other,,2024-Q2,1,,,
subcat-quarter,agent-evaluation,other,,2024-Q3,2,,,
subcat-quarter,agent-evaluation,other,,2024-Q4,2,,,
subcat-quarter,agent-evaluation,other,,2025-Q1,13,,,
subcat-quarter,agent-evaluation,other,,2025-Q2,13,,,
subcat-quarter,agent-evaluation,other,,2025-Q3,19,,,
subcat-quarter,agent-evaluation,other,,2025-Q4,28,,,
subcat-quarter,agent-evaluation,other,,2026-Q1,67,,,
subcat-quarter,agent-evaluation,other,,2026-Q2,63,,,
subcat-quarter,agent-evaluation,surveys-position,,2023-Q1,1,,,
subcat-quarter,agent-evaluation,surveys-position,,2023-Q3,3,,,
subcat-quarter,agent-evaluation,surveys-position,,2023-Q4,4,,,
subcat-quarter,agent-evaluation,surveys-position,,2024-Q1,6,,,
subcat-quarter,agent-evaluation,surveys-position,,2024-Q2,7,,,
subcat-quarter,agent-evaluation,surveys-position,,2024-Q3,5,,,
subcat-quarter,agent-evaluation,surveys-position,,2024-Q4,4,,,
subcat-quarter,agent-evaluation,surveys-position,,2025-Q1,34,,,
subcat-quarter,agent-evaluation,surveys-position,,2025-Q2,29,,,
subcat-quarter,agent-evaluation,surveys-position,,2025-Q3,44,,,
subcat-quarter,agent-evaluation,surveys-position,,2025-Q4,51,,,
subcat-quarter,agent-evaluation,surveys-position,,2026-Q1,76,,,
subcat-quarter,agent-evaluation,surveys-position,,2026-Q2,89,,,
subcat-quarter,agent-memory,context-management,,2022-Q1,1,,,
subcat-quarter,agent-memory,context-management,,2023-Q1,1,,,
subcat-quarter,agent-memory,context-management,,2023-Q2,2,,,
subcat-quarter,agent-memory,context-management,,2023-Q3,3,,,
subcat-quarter,agent-memory,context-management,,2023-Q4,5,,,
subcat-quarter,agent-memory,context-management,,2024-Q1,11,,,
subcat-quarter,agent-memory,context-management,,2024-Q2,9,,,
subcat-quarter,agent-memory,context-management,,2024-Q3,9,,,
subcat-quarter,agent-memory,context-management,,2024-Q4,14,,,
subcat-quarter,agent-memory,context-management,,2025-Q1,36,,,
subcat-quarter,agent-memory,context-management,,2025-Q2,42,,,
subcat-quarter,agent-memory,context-management,,2025-Q3,76,,,
subcat-quarter,agent-memory,context-management,,2025-Q4,138,,,
subcat-quarter,agent-memory,context-management,,2026-Q1,282,,,
subcat-quarter,agent-memory,context-management,,2026-Q2,405,,,
subcat-quarter,agent-memory,experience-learning,,2020-Q3,1,,,
subcat-quarter,agent-memory,experience-learning,,2022-Q3,1,,,
subcat-quarter,agent-memory,experience-learning,,2023-Q1,4,,,
subcat-quarter,agent-memory,experience-learning,,2023-Q2,5,,,
subcat-quarter,agent-memory,experience-learning,,2023-Q3,3,,,
subcat-quarter,agent-memory,experience-learning,,2023-Q4,18,,,
subcat-quarter,agent-memory,experience-learning,,2024-Q1,29,,,
subcat-quarter,agent-memory,experience-learning,,2024-Q2,31,,,
subcat-quarter,agent-memory,experience-learning,,2024-Q3,26,,,
subcat-quarter,agent-memory,experience-learning,,2024-Q4,38,,,
subcat-quarter,agent-memory,experience-learning,,2025-Q1,79,,,
subcat-quarter,agent-memory,experience-learning,,2025-Q2,113,,,
subcat-quarter,agent-memory,experience-learning,,2025-Q3,146,,,
subcat-quarter,agent-memory,experience-learning,,2025-Q4,200,,,
subcat-quarter,agent-memory,experience-learning,,2026-Q1,511,,,
subcat-quarter,agent-memory,experience-learning,,2026-Q2,687,,,
subcat-quarter,agent-memory,experience-learning,,2026-Q3,1,,,
subcat-quarter,agent-memory,graph-memory,,2023-Q4,1,,,
subcat-quarter,agent-memory,graph-memory,,2024-Q2,1,,,
subcat-quarter,agent-memory,graph-memory,,2024-Q3,1,,,
subcat-quarter,agent-memory,graph-memory,,2024-Q4,5,,,
subcat-quarter,agent-memory,graph-memory,,2025-Q1,12,,,
subcat-quarter,agent-memory,graph-memory,,2025-Q2,11,,,
subcat-quarter,agent-memory,graph-memory,,2025-Q3,24,,,
subcat-quarter,agent-memory,graph-memory,,2025-Q4,25,,,
subcat-quarter,agent-memory,graph-memory,,2026-Q1,60,,,
subcat-quarter,agent-memory,graph-memory,,2026-Q2,97,,,
subcat-quarter,agent-memory,memory-architectures,,2021-Q3,1,,,
subcat-quarter,agent-memory,memory-architectures,,2022-Q3,1,,,
subcat-quarter,agent-memory,memory-architectures,,2023-Q2,1,,,
subcat-quarter,agent-memory,memory-architectures,,2023-Q3,5,,,
subcat-quarter,agent-memory,memory-architectures,,2023-Q4,5,,,
subcat-quarter,agent-memory,memory-architectures,,2024-Q1,6,,,
subcat-quarter,agent-memory,memory-architectures,,2024-Q2,9,,,
subcat-quarter,agent-memory,memory-architectures,,2024-Q3,9,,,
subcat-quarter,agent-memory,memory-architectures,,2024-Q4,13,,,
subcat-quarter,agent-memory,memory-architectures,,2025-Q1,28,,,
subcat-quarter,agent-memory,memory-architectures,,2025-Q2,41,,,
subcat-quarter,agent-memory,memory-architectures,,2025-Q3,73,,,
subcat-quarter,agent-memory,memory-architectures,,2025-Q4,120,,,
subcat-quarter,agent-memory,memory-architectures,,2026-Q1,296,,,
subcat-quarter,agent-memory,memory-architectures,,2026-Q2,412,,,
subcat-quarter,agent-memory,memory-architectures,,2026-Q4,3,,,
subcat-quarter,agent-memory,memory-benchmarks,,2024-Q1,2,,,
subcat-quarter,agent-memory,memory-benchmarks,,2024-Q2,1,,,
subcat-quarter,agent-memory,memory-benchmarks,,2024-Q3,1,,,
subcat-quarter,agent-memory,memory-benchmarks,,2025-Q1,9,,,
subcat-quarter,agent-memory,memory-benchmarks,,2025-Q2,3,,,
subcat-quarter,agent-memory,memory-benchmarks,,2025-Q3,11,,,
subcat-quarter,agent-memory,memory-benchmarks,,2025-Q4,9,,,
subcat-quarter,agent-memory,memory-benchmarks,,2026-Q1,53,,,
subcat-quarter,agent-memory,memory-benchmarks,,2026-Q2,115,,,
subcat-quarter,agent-memory,other,,2022-Q2,1,,,
subcat-quarter,agent-memory,other,,2023-Q3,1,,,
subcat-quarter,agent-memory,other,,2024-Q1,4,,,
subcat-quarter,agent-memory,other,,2024-Q2,2,,,
subcat-quarter,agent-memory,other,,2024-Q3,4,,,
subcat-quarter,agent-memory,other,,2024-Q4,5,,,
subcat-quarter,agent-memory,other,,2025-Q1,5,,,
subcat-quarter,agent-memory,other,,2025-Q2,27,,,
subcat-quarter,agent-memory,other,,2025-Q3,20,,,
subcat-quarter,agent-memory,other,,2025-Q4,45,,,
subcat-quarter,agent-memory,other,,2026-Q1,87,,,
subcat-quarter,agent-memory,other,,2026-Q2,109,,,
subcat-quarter,agent-memory,personalization,,2024-Q2,1,,,
subcat-quarter,agent-memory,personalization,,2024-Q4,1,,,
subcat-quarter,agent-memory,personalization,,2025-Q1,4,,,
subcat-quarter,agent-memory,personalization,,2025-Q2,7,,,
subcat-quarter,agent-memory,personalization,,2025-Q3,3,,,
subcat-quarter,agent-memory,personalization,,2025-Q4,12,,,
subcat-quarter,agent-memory,personalization,,2026-Q1,19,,,
subcat-quarter,agent-memory,personalization,,2026-Q2,25,,,
subcat-quarter,agent-safety,governance-control,,2022-Q1,1,,,
subcat-quarter,agent-safety,governance-control,,2023-Q1,1,,,
subcat-quarter,agent-safety,governance-control,,2024-Q1,5,,,
subcat-quarter,agent-safety,governance-control,,2024-Q2,2,,,
subcat-quarter,agent-safety,governance-control,,2024-Q3,1,,,
subcat-quarter,agent-safety,governance-control,,2024-Q4,3,,,
subcat-quarter,agent-safety,governance-control,,2025-Q1,17,,,
subcat-quarter,agent-safety,governance-control,,2025-Q2,11,,,
subcat-quarter,agent-safety,governance-control,,2025-Q3,35,,,
subcat-quarter,agent-safety,governance-control,,2025-Q4,72,,,
subcat-quarter,agent-safety,governance-control,,2026-Q1,125,,,
subcat-quarter,agent-safety,governance-control,,2026-Q2,234,,,
subcat-quarter,agent-safety,other,,2024-Q4,2,,,
subcat-quarter,agent-safety,other,,2025-Q1,2,,,
subcat-quarter,agent-safety,other,,2025-Q2,2,,,
subcat-quarter,agent-safety,other,,2025-Q3,4,,,
subcat-quarter,agent-safety,other,,2025-Q4,7,,,
subcat-quarter,agent-safety,other,,2026-Q1,9,,,
subcat-quarter,agent-safety,other,,2026-Q2,16,,,
subcat-quarter,agent-safety,poisoning-supply-chain,,2022-Q4,1,,,
subcat-quarter,agent-safety,poisoning-supply-chain,,2024-Q1,4,,,
subcat-quarter,agent-safety,poisoning-supply-chain,,2024-Q2,1,,,
subcat-quarter,agent-safety,poisoning-supply-chain,,2024-Q3,2,,,
subcat-quarter,agent-safety,poisoning-supply-chain,,2025-Q1,6,,,
subcat-quarter,agent-safety,poisoning-supply-chain,,2025-Q2,1,,,
subcat-quarter,agent-safety,poisoning-supply-chain,,2025-Q3,12,,,
subcat-quarter,agent-safety,poisoning-supply-chain,,2025-Q4,9,,,
subcat-quarter,agent-safety,poisoning-supply-chain,,2026-Q1,42,,,
subcat-quarter,agent-safety,poisoning-supply-chain,,2026-Q2,67,,,
subcat-quarter,agent-safety,privacy-confidentiality,,2024-Q1,2,,,
subcat-quarter,agent-safety,privacy-confidentiality,,2024-Q2,3,,,
subcat-quarter,agent-safety,privacy-confidentiality,,2024-Q3,1,,,
subcat-quarter,agent-safety,privacy-confidentiality,,2024-Q4,3,,,
subcat-quarter,agent-safety,privacy-confidentiality,,2025-Q1,2,,,
subcat-quarter,agent-safety,privacy-confidentiality,,2025-Q2,6,,,
subcat-quarter,agent-safety,privacy-confidentiality,,2025-Q3,7,,,
subcat-quarter,agent-safety,privacy-confidentiality,,2025-Q4,7,,,
subcat-quarter,agent-safety,privacy-confidentiality,,2026-Q1,27,,,
subcat-quarter,agent-safety,privacy-confidentiality,,2026-Q2,52,,,
subcat-quarter,agent-safety,prompt-injection-jailbreaks,,2023-Q3,1,,,
subcat-quarter,agent-safety,prompt-injection-jailbreaks,,2024-Q1,3,,,
subcat-quarter,agent-safety,prompt-injection-jailbreaks,,2024-Q2,1,,,
subcat-quarter,agent-safety,prompt-injection-jailbreaks,,2024-Q3,2,,,
subcat-quarter,agent-safety,prompt-injection-jailbreaks,,2024-Q4,3,,,
subcat-quarter,agent-safety,prompt-injection-jailbreaks,,2025-Q1,18,,,
subcat-quarter,agent-safety,prompt-injection-jailbreaks,,2025-Q2,20,,,
subcat-quarter,agent-safety,prompt-injection-jailbreaks,,2025-Q3,14,,,
subcat-quarter,agent-safety,prompt-injection-jailbreaks,,2025-Q4,32,,,
subcat-quarter,agent-safety,prompt-injection-jailbreaks,,2026-Q1,82,,,
subcat-quarter,agent-safety,prompt-injection-jailbreaks,,2026-Q2,93,,,
subcat-quarter,agent-safety,safety-evaluation,,2023-Q2,1,,,
subcat-quarter,agent-safety,safety-evaluation,,2023-Q3,2,,,
subcat-quarter,agent-safety,safety-evaluation,,2023-Q4,6,,,
subcat-quarter,agent-safety,safety-evaluation,,2024-Q1,7,,,
subcat-quarter,agent-safety,safety-evaluation,,2024-Q2,5,,,
subcat-quarter,agent-safety,safety-evaluation,,2024-Q3,6,,,
subcat-quarter,agent-safety,safety-evaluation,,2024-Q4,15,,,
subcat-quarter,agent-safety,safety-evaluation,,2025-Q1,31,,,
subcat-quarter,agent-safety,safety-evaluation,,2025-Q2,48,,,
subcat-quarter,agent-safety,safety-evaluation,,2025-Q3,59,,,
subcat-quarter,agent-safety,safety-evaluation,,2025-Q4,117,,,
subcat-quarter,agent-safety,safety-evaluation,,2026-Q1,281,,,
subcat-quarter,agent-safety,safety-evaluation,,2026-Q2,425,,,
subcat-quarter,agentic-other,unclassified,,2023-Q1,1,,,
subcat-quarter,agentic-other,unclassified,,2023-Q4,1,,,
subcat-quarter,agentic-other,unclassified,,2024-Q1,1,,,
subcat-quarter,agentic-other,unclassified,,2024-Q3,3,,,
subcat-quarter,agentic-other,unclassified,,2025-Q1,9,,,
subcat-quarter,agentic-other,unclassified,,2025-Q2,7,,,
subcat-quarter,agentic-other,unclassified,,2025-Q3,17,,,
subcat-quarter,agentic-other,unclassified,,2025-Q4,16,,,
subcat-quarter,agentic-other,unclassified,,2026-Q1,43,,,
subcat-quarter,agentic-other,unclassified,,2026-Q2,49,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2021-Q4,1,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2022-Q2,1,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2023-Q1,2,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2023-Q2,2,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2023-Q3,2,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2023-Q4,2,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2024-Q1,27,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2024-Q2,26,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2024-Q3,24,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2024-Q4,54,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2025-Q1,135,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2025-Q2,140,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2025-Q3,177,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2025-Q4,300,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2026-Q1,421,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2026-Q2,402,,,
subcat-quarter,agentic-retrieval,agentic-rag,,2026-Q3,2,,,
subcat-quarter,agentic-retrieval,deep-research,,2023-Q1,1,,,
subcat-quarter,agentic-retrieval,deep-research,,2023-Q2,3,,,
subcat-quarter,agentic-retrieval,deep-research,,2023-Q3,3,,,
subcat-quarter,agentic-retrieval,deep-research,,2023-Q4,6,,,
subcat-quarter,agentic-retrieval,deep-research,,2024-Q1,5,,,
subcat-quarter,agentic-retrieval,deep-research,,2024-Q2,5,,,
subcat-quarter,agentic-retrieval,deep-research,,2024-Q3,8,,,
subcat-quarter,agentic-retrieval,deep-research,,2024-Q4,13,,,
subcat-quarter,agentic-retrieval,deep-research,,2025-Q1,37,,,
subcat-quarter,agentic-retrieval,deep-research,,2025-Q2,43,,,
subcat-quarter,agentic-retrieval,deep-research,,2025-Q3,71,,,
subcat-quarter,agentic-retrieval,deep-research,,2025-Q4,80,,,
subcat-quarter,agentic-retrieval,deep-research,,2026-Q1,147,,,
subcat-quarter,agentic-retrieval,deep-research,,2026-Q2,140,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2022-Q1,1,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2023-Q2,1,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2023-Q3,2,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2023-Q4,3,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2024-Q1,8,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2024-Q2,5,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2024-Q3,8,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2024-Q4,16,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2025-Q1,45,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2025-Q2,40,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2025-Q3,46,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2025-Q4,63,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2026-Q1,126,,,
subcat-quarter,agentic-retrieval,domain-assistants,,2026-Q2,113,,,
subcat-quarter,agentic-retrieval,other,,2021-Q3,1,,,
subcat-quarter,agentic-retrieval,other,,2023-Q1,12,,,
subcat-quarter,agentic-retrieval,other,,2023-Q2,8,,,
subcat-quarter,agentic-retrieval,other,,2023-Q3,19,,,
subcat-quarter,agentic-retrieval,other,,2023-Q4,33,,,
subcat-quarter,agentic-retrieval,other,,2024-Q1,57,,,
subcat-quarter,agentic-retrieval,other,,2024-Q2,55,,,
subcat-quarter,agentic-retrieval,other,,2024-Q3,51,,,
subcat-quarter,agentic-retrieval,other,,2024-Q4,69,,,
subcat-quarter,agentic-retrieval,other,,2025-Q1,174,,,
subcat-quarter,agentic-retrieval,other,,2025-Q2,180,,,
subcat-quarter,agentic-retrieval,other,,2025-Q3,243,,,
subcat-quarter,agentic-retrieval,other,,2025-Q4,376,,,
subcat-quarter,agentic-retrieval,other,,2026-Q1,567,,,
subcat-quarter,agentic-retrieval,other,,2026-Q2,782,,,
subcat-quarter,agentic-retrieval,other,,2026-Q3,1,,,
subcat-quarter,agentic-retrieval,structured-knowledge,,2022-Q1,1,,,
subcat-quarter,agentic-retrieval,structured-knowledge,,2023-Q4,2,,,
subcat-quarter,agentic-retrieval,structured-knowledge,,2024-Q1,3,,,
subcat-quarter,agentic-retrieval,structured-knowledge,,2024-Q2,1,,,
subcat-quarter,agentic-retrieval,structured-knowledge,,2024-Q3,3,,,
subcat-quarter,agentic-retrieval,structured-knowledge,,2024-Q4,8,,,
subcat-quarter,agentic-retrieval,structured-knowledge,,2025-Q1,29,,,
subcat-quarter,agentic-retrieval,structured-knowledge,,2025-Q2,24,,,
subcat-quarter,agentic-retrieval,structured-knowledge,,2025-Q3,46,,,
subcat-quarter,agentic-retrieval,structured-knowledge,,2025-Q4,71,,,
subcat-quarter,agentic-retrieval,structured-knowledge,,2026-Q1,109,,,
subcat-quarter,agentic-retrieval,structured-knowledge,,2026-Q2,137,,,
subcat-quarter,autonomous-agents,agent-training,,2023-Q1,2,,,
subcat-quarter,autonomous-agents,agent-training,,2023-Q2,3,,,
subcat-quarter,autonomous-agents,agent-training,,2023-Q3,2,,,
subcat-quarter,autonomous-agents,agent-training,,2023-Q4,9,,,
subcat-quarter,autonomous-agents,agent-training,,2024-Q1,20,,,
subcat-quarter,autonomous-agents,agent-training,,2024-Q2,13,,,
subcat-quarter,autonomous-agents,agent-training,,2024-Q3,10,,,
subcat-quarter,autonomous-agents,agent-training,,2024-Q4,15,,,
subcat-quarter,autonomous-agents,agent-training,,2025-Q1,43,,,
subcat-quarter,autonomous-agents,agent-training,,2025-Q2,57,,,
subcat-quarter,autonomous-agents,agent-training,,2025-Q3,66,,,
subcat-quarter,autonomous-agents,agent-training,,2025-Q4,107,,,
subcat-quarter,autonomous-agents,agent-training,,2026-Q1,191,,,
subcat-quarter,autonomous-agents,agent-training,,2026-Q2,327,,,
subcat-quarter,autonomous-agents,coding-software,,2023-Q2,2,,,
subcat-quarter,autonomous-agents,coding-software,,2023-Q3,3,,,
